"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES"
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-01-01","14.09",",,W"," 2357",",,W"," 2357",",,W","0.00",",,W","-5",",,W","4",",,W","-13",",,W","  330",",,W","  340",",,W","17.9",",,W","19.9",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-01-02","13.42",",,W"," 1135",",,W"," 1134",",,W","0.00","T,,W","-6",",,W","6",",,W","-17",",,W","  320",",,W","  320",",,W","23.0",",,W","23.9",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-01-03","4.92",",,W"," 1239",",,W"," 1226",",,W","0.00","T,,W","-17",",,W","-5",",,W","-29",",,W","   90",",,W","   90",",,W","8.1",",,W","8.9",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-01-04","3.36",",,W"," 2228",",,W"," 2227",",,W","0.00",",,W","-14",",,W","2",",,W","-29",",,W","   80",",,W","   70",",,W","8.9",",,W","10.1",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-01-05","3.36",",,W"," 0235",",,W"," 0233",",,W","0.00","T,,W","-17",",,W","-6",",,W","-27",",,W","   90",",,W","  100",",,W","8.1",",,W","8.9",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-01-06","15.88",",,W"," 2339",",,W"," 2337",",,W","0.00","T,,W","-10",",,W","7",",,W","-27",",,W","   10",",,W","   10",",,W","40.0",",,W","45.0",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-01-07","38.48",",,W"," 1159",",,W"," 1158",",,W","0.00",",,W","1",",,W","5",",,W","-4",",,W","   20",",,W","   20",",,W","47.0",",,W","51.9",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-01-08","28.41",",,W"," 0000",",,W"," 0043",",,W","0.00",",,W","1",",,W","7",",,W","-5",",,W","   10",",,W","   10",",,W","45.0",",,W","48.1",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-01-09","23.71",",,W"," 0833",",,W"," 0833",",,W","0.00",",,W","2",",,W","12",",,W","-8",",,W","  360",",,W","  360",",,W","38.0",",,W","40.9",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-01-10","12.75",",,W"," 0950",",,W"," 0949",",,W","0.00","T,,W","2",",,W","13",",,W","-9",",,W","   10",",,W","   10",",,W","29.1",",,W","32.0",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-01-11","4.03",",,W"," 0257",",,W"," 0255",",,W","0.00","T,,W","-8",",,W","9",",,W","-24",",,W","  310",",,W","  310",",,W","16.1",",,W","17.0",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-01-12","4.92",",,W"," 2202",",,W"," 2359",",,W","0.00","T,,W","-12",",,W","3",",,W","-26",",,W","   70",",,W","  100",",,W","10.1",",,W","10.1",",,W",,,,,,,,
